Unix Time [GMT], T [C @ 5m], T [C @ 35m], T [C @ 60m]
1478448000000,17.578,13.508,11.738
1478451600000,17.777,13.891,11.759
1478455200000,17.606,13.653,11.373
1478458800000,17.811,13.592,11.331
1478462400000,17.856,13.645,11.400
1478466000000,17.797,13.423,11.326
1478469600000,17.536,13.485,11.645
1478473200000,17.625,13.220,11.518
1478476800000,18.042,13.814,11.721
1478480400000,17.659,13.798,11.840
1478484000000,17.372,13.634,11.744
1478487600000,17.219,13.784,11.735
1478491200000,17.009,13.694,11.733
1478494800000,17.284,13.875,11.609
1478498400000,17.573,13.827,11.646
1478502000000,16.890,13.839,11.469
1478505600000,17.169,13.833,11.492
1478509200000,17.803,13.803,11.319
1478512800000,17.406,13.467,11.408
1478516400000,17.324,13.216,11.427
1478520000000,18.059,13.876,11.470
1478523600000,18.216,13.927,11.451
1478527200000,18.097,13.871,11.672
1478530800000,18.072,13.787,11.931
1478534400000,18.621,14.121,11.877
1478538000000,18.602,14.313,11.876
1478541600000,18.424,14.488,11.294
1478545200000,17.845,14.402,11.378
1478548800000,18.609,14.541,11.268
1478552400000,18.723,14.685,11.236
1478556000000,18.713,14.213,11.195
1478559600000,18.843,13.136,11.599
1478563200000,18.862,12.884,11.582
1478566800000,18.856,13.870,11.600
1478570400000,18.881,14.768,11.861
1478574000000,18.806,14.320,12.067
1478577600000,18.898,14.093,12.050
1478581200000,18.862,14.422,11.638
1478584800000,18.869,14.349,11.516
1478588400000,18.874,14.711,11.569
1478592000000,18.843,14.167,11.579
1478595600000,18.784,13.879,11.658
1478599200000,18.708,13.326,11.606
1478602800000,18.648,13.121,11.370
1478606400000,18.620,13.054,11.286
1478610000000,18.626,13.654,11.420
1478613600000,18.599,13.951,11.473
1478617200000,18.564,13.458,11.942
1478620800000,18.544,13.749,11.929
1478624400000,18.521,13.810,12.130
1478628000000,18.533,13.909,11.909
1478631600000,18.547,13.926,11.869
1478635200000,18.552,13.586,11.991
1478638800000,18.570,13.550,11.682
1478642400000,18.564,13.439,11.389
1478646000000,18.583,13.070,11.388
1478649600000,18.747,13.473,11.555
1478653200000,18.782,13.730,11.574
1478656800000,18.740,13.957,11.706
1478660400000,18.728,14.001,11.891
1478664000000,18.721,14.340,11.882
1478667600000,18.708,14.442,11.624
1478671200000,18.709,14.494,11.488
1478674800000,18.703,14.622,11.797
1478678400000,18.698,14.534,11.711
1478682000000,18.689,13.829,11.630
1478685600000,18.682,13.672,11.599
1478689200000,18.691,12.690,11.684
1478692800000,18.671,12.769,11.657
1478696400000,18.644,12.472,11.560
1478700000000,18.608,12.673,11.340
1478703600000,18.604,13.795,11.389
1478707200000,18.617,14.290,11.383
1478710800000,18.634,14.314,11.906
1478714400000,18.641,14.213,12.213
1478718000000,18.635,14.240,12.239
1478721600000,18.681,14.243,11.983
1478725200000,18.641,14.216,11.895
1478728800000,18.640,13.464,11.724
1478732400000,18.615,13.705,11.810
1478736000000,18.583,13.452,11.823
1478739600000,18.543,13.172,11.856
1478743200000,18.570,13.861,11.889
1478746800000,18.704,14.006,11.952
1478750400000,18.819,14.076,11.918
1478754000000,18.819,13.814,11.727
1478757600000,18.817,14.002,11.759
1478761200000,18.803,13.944,11.890
1478764800000,18.772,14.212,12.079
1478768400000,18.785,13.780,12.039
1478772000000,18.814,13.499,12.044
1478775600000,18.826,12.913,12.012
1478779200000,18.810,13.057,11.931
1478782800000,18.875,12.935,11.692
1478786400000,18.877,12.813,11.864
1478790000000,18.903,13.083,11.561
1478793600000,18.986,13.746,12.049
1478797200000,19.051,14.203,12.174
1478800800000,19.086,14.296,12.341
1478804400000,19.116,14.242,12.261
1478808000000,19.103,14.205,12.070
1478811600000,19.189,13.978,11.965
1478815200000,19.197,13.634,11.951
1478818800000,19.065,13.737,11.820
1478822400000,19.110,13.565,11.391
1478826000000,18.923,13.286,11.763
1478829600000,18.986,13.600,11.739
1478833200000,18.906,13.701,11.669
1478836800000,18.995,13.916,11.762
1478840400000,18.965,14.079,11.881
1478844000000,18.912,14.122,11.923
1478847600000,19.007,14.018,12.112
1478851200000,19.328,13.857,12.109
1478854800000,19.215,14.035,12.054
1478858400000,19.029,13.780,11.787
1478862000000,18.982,13.384,11.710
1478865600000,18.980,13.590,11.722
1478869200000,19.009,13.921,11.695
1478872800000,18.932,14.005,11.707
1478876400000,18.920,14.215,11.516
1478880000000,18.903,14.503,11.656
1478883600000,18.929,14.871,11.646
1478887200000,18.949,14.301,11.832
1478890800000,18.967,14.137,12.063
1478894400000,19.000,14.229,12.061
1478898000000,19.003,14.038,12.086
1478901600000,18.991,13.480,11.907
1478905200000,19.001,13.232,11.663
1478908800000,18.982,13.459,11.589
1478912400000,18.975,13.554,11.469
1478916000000,18.987,13.707,11.525
1478919600000,18.968,13.748,11.602
1478923200000,18.980,13.623,11.618
1478926800000,19.052,13.650,11.806
1478930400000,19.118,14.223,12.118
1478934000000,19.149,14.349,12.333
1478937600000,19.142,14.772,12.015
1478941200000,19.133,14.336,11.836
1478944800000,19.125,14.369,11.919
1478948400000,19.094,14.101,11.559
1478952000000,19.081,14.153,11.707
1478955600000,19.054,13.359,11.662
1478959200000,19.008,13.194,11.661
1478962800000,18.998,13.658,11.793
1478966400000,18.990,14.148,11.896
1478970000000,18.998,15.281,11.927
1478973600000,18.990,14.921,11.947
1478977200000,19.017,14.247,12.155
1478980800000,18.995,14.376,12.169
1478984400000,19.019,14.038,11.924
1478988000000,19.055,14.519,12.104
1478991600000,19.087,14.502,11.897
1478995200000,19.106,14.475,11.801
1478998800000,19.126,15.320,11.831
1479002400000,19.177,15.659,11.848
1479006000000,19.087,15.691,11.902
1479009600000,19.045,14.693,11.865
1479013200000,19.124,14.783,11.740
1479016800000,19.113,13.917,11.812
1479020400000,19.098,15.104,11.945
1479024000000,19.079,14.350,12.032
1479027600000,19.045,14.145,12.060
1479031200000,19.052,13.438,11.964
1479034800000,19.020,14.823,11.886
1479038400000,19.011,14.574,11.899
1479042000000,18.993,14.114,11.917
1479045600000,18.980,15.310,12.021
1479049200000,18.970,15.498,12.065
1479052800000,18.975,14.913,12.113
1479056400000,18.992,15.611,12.260
1479060000000,19.007,14.578,12.214
1479063600000,19.029,15.164,12.211
1479067200000,19.053,14.904,12.304
1479070800000,19.057,14.708,12.310
1479074400000,19.059,14.863,12.308
1479078000000,19.062,15.582,12.315
1479081600000,19.076,15.098,12.118
1479085200000,19.055,14.401,12.213
1479088800000,19.142,13.863,12.115
1479092400000,19.214,13.833,12.176
1479096000000,19.204,13.117,12.169
1479099600000,19.192,13.791,12.243
1479103200000,19.145,14.299,12.306
1479106800000,19.074,14.448,12.461
1479110400000,19.106,13.766,12.386
1479114000000,19.123,13.765,12.418
1479117600000,19.108,14.128,12.363
1479121200000,19.093,14.154,12.438
1479124800000,19.080,14.269,12.436
1479128400000,19.075,14.562,12.437
1479132000000,19.021,14.839,12.411
1479135600000,19.036,14.966,12.450
1479139200000,19.041,14.083,12.444
1479142800000,19.032,14.613,12.432
1479146400000,19.037,15.322,12.467
1479150000000,19.051,14.554,12.461
1479153600000,19.037,14.637,12.482
1479157200000,19.112,14.959,12.784
1479160800000,19.075,14.819,12.634
1479164400000,19.087,14.852,12.516
1479168000000,19.077,14.926,12.486
1479171600000,19.053,15.239,12.471
1479175200000,19.180,15.262,12.425
1479178800000,18.991,14.875,12.146
1479182400000,18.623,14.012,11.949
1479186000000,18.427,14.292,11.866
1479189600000,19.060,13.984,11.994
1479193200000,19.045,13.067,12.322
1479196800000,19.042,13.878,12.393
1479200400000,18.992,13.912,12.436
1479204000000,19.008,14.158,12.759
1479207600000,19.048,14.328,12.500
1479211200000,19.070,14.690,12.865
1479214800000,19.057,14.568,12.038
