Time,temperature1,temperature2,temperature3
1500224551000,20.038,11.355,10.539
1500228151000,20.378,11.434,10.587
1500231751000,19.956,11.604,10.616
1500235351000,20.374,11.734,10.738
1500242551000,20.769,11.775,10.753
1500246151000,20.57,11.7,10.474
1500249751000,20.312,11.626,10.49
1500253351000,20.565,11.645,10.527
1500256951000,21.25,11.894,10.537
1500260551000,21.834,12.0,10.578
1500264151000,21.359,12.131,10.627
1500267751000,21.679,12.187,10.794
1500271351000,21.169,12.259,10.674
1500274951000,21.302,11.912,10.599
1500278551000,21.522,11.88,10.604
1500282151000,21.254,12.03,10.752
1500285751000,21.603,11.945,10.63
1500289351000,21.343,11.911,10.686
1500292951000,21.217,11.993,10.706
1500296551000,21.444,12.082,10.728
1500300151000,21.507,11.781,10.76
1500303751000,21.709,11.971,10.751
1500307351000,22.016,11.807,10.811
1500310951000,22.084,11.994,10.812
1500314551000,22.1,12.029,10.817
1500318151000,20.782,12.285,10.744
1500321751000,21.063,12.524,10.768
1500325351000,21.64,12.735,10.81
1500328951000,21.564,12.702,10.755
1500332551000,21.797,12.653,10.748
1500336151000,21.84,12.417,10.762
1500339751000,22.029,12.543,10.735
1500343351000,22.246,12.132,10.81
1500346951000,22.458,12.399,10.784
1500350551000,22.392,12.504,10.774
1500354151000,22.534,12.554,10.854
1500357751000,20.584,12.595,10.854
1500361351000,21.312,12.338,10.925
1500364951000,21.516,12.671,10.939
1500368551000,21.301,12.76,10.948
1500372151000,22.444,12.556,10.926
1500375751000,22.626,12.634,10.94
1500379351000,22.78,12.407,10.94
1500382951000,22.811,12.308,10.857
1500386551000,22.92,12.446,10.703
1500390151000,22.998,12.554,10.857
1500393751000,22.691,13.051,10.883
1500397351000,22.463,13.226,11.07
1500400951000,21.838,13.101,11.053
1500404551000,20.592,13.155,10.929
1500404551000,20.592,13.155,10.929
1500408151000,21.237,13.061,10.941
1500411751000,22.382,13.349,10.95
1500415351000,22.876,13.484,10.858
1500418951000,23.101,12.917,10.655
1500422551000,23.069,11.988,10.691
1500426151000,22.972,12.092,10.656
1500429751000,23.064,12.877,10.722
1500433351000,23.0,12.99,10.838
1500436951000,22.814,13.412,10.947
1500440551000,22.866,13.8,11.155
1500444151000,22.537,13.414,11.092
1500447751000,21.889,13.218,11.061
1500451351000,21.987,12.844,11.084
1500454951000,21.757,13.091,11.047
1500458551000,22.413,13.278,11.02
1500462151000,21.996,13.461,11.048
1500465751000,22.095,12.942,10.939
1500469351000,22.215,12.755,10.827
1500472951000,22.548,12.481,10.705
1500476551000,22.428,12.636,10.798
1500480151000,22.537,13.113,10.863
1500483751000,22.092,13.235,10.885
1500487351000,22.513,13.557,10.869
1500490951000,22.538,14.036,10.857
1500494551000,22.588,13.689,10.895
1500498151000,22.551,13.533,10.814
1500501751000,22.454,13.676,10.924
1500505351000,,13.535,10.945
1500508951000,22.909,13.368,10.889
1500512551000,22.761,13.329,10.902
1500516151000,22.531,13.291,10.874
1500519751000,22.18,13.809,11.054
1500523351000,21.802,14.179,11.273
1500526951000,21.677,14.267,11.163
1500530551000,21.29,13.84,11.219
1500534151000,21.744,13.419,11.151
1500537751000,21.706,13.418,11.285
1500541351000,21.59,13.565,11.255
1500544951000,21.776,13.229,11.125
1500548551000,20.738,13.521,10.972
1500552151000,21.514,13.213,10.741
1500555751000,21.573,14.263,10.844
1500559351000,21.471,14.354,10.906
1500562951000,21.58,14.226,10.853
1500566551000,21.636,15.892,11.069
1500570151000,20.417,14.812,11.047
1500573751000,19.866,14.26,11.178
1500577351000,19.883,14.923,11.279
1500580951000,19.136,14.269,11.128
1500584551000,19.798,14.271,11.024
1500588151000,20.375,13.404,11.06
1500591751000,21.495,13.364,11.02
1500595351000,22.07,13.318,11.063
1500598951000,22.083,13.498,11.048
1500602551000,21.902,13.394,11.023
1500606151000,21.058,14.846,11.166
1500609751000,20.385,14.812,11.302
1500613351000,19.858,14.823,11.348
1500616951000,21.236,14.93,11.36
1500620551000,22.367,14.534,11.343
1500624151000,22.067,13.767,11.372
1500627751000,21.362,13.679,11.469
1500631351000,21.52,13.521,11.534
1500634951000,21.132,13.178,11.505
1500638551000,20.574,13.373,11.344
1500642151000,20.357,13.608,11.322
1500645751000,20.409,13.598,11.12
1500649351000,20.489,13.615,11.15
1500652951000,21.366,14.966,11.239
1500656551000,21.183,14.918,11.156
1500660151000,21.31,14.831,11.43
1500663751000,20.239,14.336,11.392
1500667351000,19.695,14.168,11.574
1500670951000,20.54,13.841,11.379
1500674551000,20.065,13.628,11.434
1500678151000,20.378,13.577,11.374
1500681751000,21.881,13.129,11.382
1500685351000,22.734,13.439,11.505
1500688951000,21.675,13.599,11.57
1500692551000,22.285,13.708,11.506
1500696151000,22.02,13.687,11.484
1500699751000,21.597,13.758,11.626
1500703351000,21.269,13.66,11.571
1500706951000,21.687,13.561,11.632
1500710551000,21.52,13.293,11.575
1500714151000,21.253,13.376,12.049
1500717751000,21.249,13.49,11.837
1500721351000,21.272,13.32,11.857
1500724951000,20.718,13.349,11.771
1500728551000,21.552,13.023,11.751
1500732151000,21.576,13.013,11.727
1500735751000,21.882,13.072,11.721
1500739351000,21.899,13.529,11.732
1500742951000,20.447,13.678,11.814
1500746551000,21.53,13.654,11.855
1500750151000,22.075,13.496,11.774
1500753751000,22.158,13.513,11.823
1500757351000,21.73,13.208,11.294
1500760951000,22.042,13.556,11.87
1500764551000,21.981,13.544,11.879
1500768151000,22.18,13.416,12.011
1500771751000,22.229,13.354,11.86
1500775351000,22.369,13.2,11.852
1500778951000,22.64,13.334,11.597
1500782551000,22.607,13.232,11.904
1500786151000,22.752,13.473,12.032
1500789751000,22.68,13.475,12.029
1500793351000,22.465,13.488,12.05
1500796951000,22.299,13.338,11.741
1500800551000,22.01,14.312,12.142
1500804151000,19.99,13.702,12.063
1500807751000,21.829,13.802,12.091
1500811351000,22.067,13.554,11.931
1500814951000,21.923,13.287,11.85
1500818551000,22.118,13.393,11.818
1500822151000,22.158,13.416,11.792
1500825751000,22.328,13.018,11.715
1500829351000,22.41,13.181,11.703
1500832951000,22.354,13.407,11.892
1500836551000,22.454,13.555,11.979
1500840151000,22.463,13.466,11.87
1500843751000,22.166,13.217,11.928
1500847351000,22.343,13.145,11.51
1500850951000,21.89,13.398,11.948
1500854551000,22.242,13.249,11.472
1500858151000,22.73,13.102,11.727
1500861751000,22.945,12.979,11.569
1500865351000,22.875,13.092,11.888
1500868951000,22.948,13.136,11.703
1500872551000,23.037,13.226,11.916
1500876151000,22.904,13.167,12.095
1500879751000,22.845,13.068,12.222
1500883351000,22.876,13.199,12.175
1500886951000,22.332,13.329,12.072
1500890551000,23.213,13.494,11.968
1500894151000,21.467,13.45,
1500897751000,21.637,13.543,11.772
1500901351000,21.727,13.237,11.757
1500904951000,21.78,13.153,11.692
1500908551000,21.853,13.172,11.641
1500912151000,21.873,13.037,11.76
1500915751000,22.222,13.126,11.96
1500919351000,22.898,13.147,11.994
1500922951000,22.666,13.277,12.002
1500926551000,22.348,12.996,11.992
1500930151000,22.004,12.859,12.152
1500933751000,22.1,12.854,11.826
1500937351000,23.076,13.035,11.748
1500940951000,22.876,12.948,11.577
1500944551000,22.659,13.113,11.8
1500948151000,22.95,13.172,11.752
1500951751000,22.761,13.182,11.76
1500955351000,22.828,12.994,11.777
1500958951000,22.627,13.029,11.736
1500962551000,22.637,12.686,11.87
